countryiso3code,country,date,value
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2023,1672.5059574692
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2022,1642.43203899493
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2021,1545.95669660381
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2020,1356.08887141531
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2019,1508.48688648948
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2018,1558.61207925907
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2017,1485.7535786147
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2016,1346.30128120779
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2015,1498.80508358802
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2014,1678.55360976878
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2013,1696.35603961321
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2012,1724.20405261091
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2011,1757.99840406352
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2010,1622.68409299336
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2009,1404.53594803156
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2008,1439.24092429085
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2007,1379.74675649107
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2006,1235.84712467542
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2005,1130.16893800135
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2004,994.193854428418
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2003,819.986705041887
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2002,633.520200697013
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2001,633.473381647953
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",2000,715.142507332877
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1999,678.004155967361
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1998,704.277315719787
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1997,774.549634806529
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1996,750.771355723696
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1995,773.575368635221
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1994,707.177201584469
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1993,715.892117172597
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1992,732.360417834814
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1991,858.727618633322
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1990,810.646700079806
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1989,712.241039213014
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1988,690.218354018774
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1987,653.141414479377
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1986,560.769811627585
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1985,534.63657158749
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1984,638.748097266477
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1983,711.678240716245
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1982,689.942670834929
AFE,"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",1981,747.045457327748
